# KERISE v3
# ref_v.tra	est_v.tra	ref_a.tra	est_a.tra	ref_q.x	est_q.x	ref_q.y	est_q.y	ref_q.th	est_q.th	ref_0	ref_1	ref_2	ref_3	wd_0	wd_1	wd_2	wd_3	tof
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.232e-04	0.000e+00	0.000e+00	6.940e+02	1.000e+00	1.000e+00	5.900e+02	6.834e-01	-1.042e+02	-1.047e+02	4.667e-01	2.890e+02
1.200e-01	-1.372e-01	0.000e+00	-1.825e-03	4.000e-05	-7.842e-04	0.000e+00	1.232e-04	0.000e+00	-1.825e-06	7.020e+02	1.000e+00	1.000e+00	5.770e+02	6.834e-01	-1.042e+02	-1.047e+02	4.667e-01	2.890e+02
4.800e-01	4.566e-02	0.000e+00	-2.889e-03	3.200e-04	2.384e-07	0.000e+00	1.232e-04	0.000e+00	-4.715e-06	6.750e+02	1.000e+00	1.000e+00	5.910e+02	8.313e-01	-1.042e+02	-1.047e+02	1.792e-01	2.890e+02
1.080e+00	-1.390e-01	0.000e+00	-2.357e-03	1.080e-03	-7.838e-04	0.000e+00	1.232e-04	0.000e+00	-7.072e-06	6.880e+02	1.000e+00	1.000e+00	5.870e+02	3.252e-01	-1.042e+02	-1.047e+02	4.886e-01	2.890e+02
1.920e+00	1.273e-01	0.000e+00	8.354e-04	2.560e-03	3.921e-04	0.000e+00	1.232e-04	0.000e+00	-6.236e-06	6.880e+02	1.000e+00	1.000e+00	5.670e+02	5.713e-01	-1.042e+02	-1.047e+02	4.009e-01	2.890e+02
3.000e+00	-4.202e-02	0.000e+00	8.354e-04	5.000e-03	-3.920e-04	0.000e+00	1.232e-04	0.000e+00	-5.401e-06	6.830e+02	1.000e+00	1.000e+00	5.840e+02	5.713e-01	-1.042e+02	-1.047e+02	-4.637e-02	2.890e+02
4.320e+00	-1.880e-01	0.000e+00	-7.609e-04	8.640e-03	-1.176e-03	0.000e+00	1.232e-04	0.000e+00	-6.162e-06	6.790e+02	1.000e+00	1.000e+00	5.800e+02	4.772e-01	-1.042e+02	-1.047e+02	3.348e-01	2.890e+02
5.880e+00	3.364e-02	0.000e+00	1.900e-03	1.372e-02	-3.920e-04	0.000e+00	1.232e-04	0.000e+00	-4.262e-06	6.860e+02	1.000e+00	1.000e+00	5.610e+02	4.014e-01	-1.042e+02	-1.047e+02	2.461e-01	2.890e+02
7.680e+00	-2.901e-02	0.000e+00	2.432e-03	2.048e-02	-7.840e-04	0.000e+00	1.232e-04	0.000e+00	-1.830e-06	6.560e+02	1.000e+00	1.000e+00	5.740e+02	5.338e-01	-1.042e+02	-1.047e+02	-1.836e-01	2.890e+02
9.720e+00	2.909e-01	0.000e+00	-2.288e-04	2.916e-02	7.843e-04	0.000e+00	1.232e-04	0.000e+00	-2.059e-06	7.040e+02	1.000e+00	1.000e+00	5.890e+02	-4.322e-02	-1.042e+02	-1.047e+02	1.120e-01	2.890e+02
1.200e+01	-1.579e-01	0.000e+00	-1.825e-03	4.000e-02	-1.176e-03	0.000e+00	1.232e-04	0.000e+00	-3.884e-06	7.030e+02	1.000e+00	1.000e+00	5.810e+02	8.680e-01	-1.042e+02	-1.047e+02	4.448e-01	2.890e+02
