# KERISE v5
# 両壁あり・なし交互の4マス
# ref_v.tra	est_v.tra	ref_a.tra	est_a.tra	ref_q.x	est_q.x	ref_q.y	est_q.y	ref_q.th	est_q.th	ref_0	ref_1	ref_2	ref_3	wd_0	wd_1	wd_2	wd_3	tof
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.950e+02	1.000e+00	1.000e+00	4.350e+02	1.028e+00	9.396e+01	9.701e+01	1.204e+00	2.810e+02
1.200e-01	0.000e+00	0.000e+00	-3.884e-04	4.000e-05	0.000e+00	0.000e+00	0.000e+00	0.000e+00	-3.884e-07	4.960e+02	1.000e+00	1.000e+00	4.350e+02	1.028e+00	9.396e+01	9.701e+01	1.204e+00	2.810e+02
4.800e-01	0.000e+00	0.000e+00	1.740e-03	3.200e-04	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.352e-06	4.940e+02	1.000e+00	1.000e+00	4.340e+02	1.002e+00	9.396e+01	9.701e+01	1.115e+00	2.810e+02
1.080e+00	0.000e+00	0.000e+00	9.190e-03	1.080e-03	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.054e-05	4.960e+02	1.000e+00	1.000e+00	4.350e+02	1.054e+00	9.396e+01	9.701e+01	1.144e+00	2.810e+02
1.920e+00	0.000e+00	0.000e+00	1.983e-02	2.560e-03	0.000e+00	0.000e+00	0.000e+00	0.000e+00	3.037e-05	4.970e+02	1.000e+00	1.000e+00	4.360e+02	1.002e+00	9.396e+01	9.701e+01	1.115e+00	2.810e+02
3.000e+00	0.000e+00	0.000e+00	1.451e-02	5.000e-03	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.488e-05	4.960e+02	1.000e+00	1.000e+00	4.310e+02	9.755e-01	9.396e+01	9.701e+01	1.085e+00	2.810e+02
4.320e+00	0.000e+00	0.000e+00	1.132e-02	8.640e-03	0.000e+00	0.000e+00	0.000e+00	0.000e+00	5.620e-05	4.970e+02	1.000e+00	1.000e+00	4.330e+02	1.002e+00	9.396e+01	9.701e+01	1.234e+00	2.810e+02
5.880e+00	0.000e+00	0.000e+00	9.190e-03	1.372e-02	0.000e+00	0.000e+00	0.000e+00	0.000e+00	6.539e-05	4.970e+02	1.000e+00	1.000e+00	4.320e+02	9.755e-01	9.396e+01	9.701e+01	1.174e+00	2.810e+02
7.680e+00	0.000e+00	0.000e+00	8.125e-03	2.048e-02	0.000e+00	0.000e+00	0.000e+00	0.000e+00	7.352e-05	4.970e+02	1.000e+00	1.000e+00	4.310e+02	9.755e-01	9.396e+01	9.701e+01	1.204e+00	2.810e+02
9.720e+00	0.000e+00	0.000e+00	9.190e-03	2.916e-02	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.271e-05	4.970e+02	1.000e+00	1.000e+00	4.350e+02	9.755e-01	9.396e+01	9.701e+01	1.234e+00	2.810e+02
