# KERISE v5
# 正面向きの壁がない斜め5マス
# 区画の切り替わり上からスタート
# ref_v.tra	est_v.tra	ref_a.tra	est_a.tra	ref_q.x	est_q.x	ref_q.y	est_q.y	ref_q.th	est_q.th	ref_0	ref_1	ref_2	ref_3	wd_0	wd_1	wd_2	wd_3	tof
0.000e+00	0.000e+00	0.000e+00	-1.139e-03	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	-1.139e-06	1.000e+00	1.000e+00	1.000e+00	9.230e+02	8.109e+01	9.396e+01	9.701e+01	-8.592e+00	2.810e+02
1.200e-01	0.000e+00	0.000e+00	-7.450e-05	4.000e-05	0.000e+00	0.000e+00	0.000e+00	0.000e+00	-1.213e-06	1.000e+00	1.000e+00	1.000e+00	9.250e+02	8.109e+01	9.396e+01	9.701e+01	-8.592e+00	2.810e+02
4.800e-01	0.000e+00	0.000e+00	-1.139e-03	3.200e-04	0.000e+00	0.000e+00	0.000e+00	0.000e+00	-2.352e-06	1.000e+00	1.000e+00	1.000e+00	9.230e+02	8.109e+01	9.396e+01	9.701e+01	-8.620e+00	2.810e+02
1.080e+00	0.000e+00	0.000e+00	-3.267e-03	1.080e-03	0.000e+00	0.000e+00	0.000e+00	0.000e+00	-5.619e-06	1.000e+00	1.000e+00	1.000e+00	9.210e+02	8.109e+01	9.396e+01	9.701e+01	-8.592e+00	2.810e+02
1.920e+00	0.000e+00	0.000e+00	-2.203e-03	2.560e-03	0.000e+00	0.000e+00	0.000e+00	0.000e+00	-7.822e-06	1.000e+00	1.000e+00	1.000e+00	9.220e+02	8.109e+01	9.396e+01	9.701e+01	-8.564e+00	2.810e+02
3.000e+00	0.000e+00	0.000e+00	3.118e-03	5.000e-03	0.000e+00	0.000e+00	0.000e+00	0.000e+00	-4.704e-06	1.000e+00	1.000e+00	1.000e+00	9.210e+02	8.109e+01	9.396e+01	9.701e+01	-8.578e+00	2.810e+02
4.320e+00	0.000e+00	0.000e+00	4.182e-03	8.640e-03	0.000e+00	0.000e+00	0.000e+00	0.000e+00	-5.215e-07	1.000e+00	1.000e+00	1.000e+00	9.240e+02	8.109e+01	9.396e+01	9.701e+01	-8.564e+00	2.810e+02
5.880e+00	1.210e+00	0.000e+00	-2.203e-03	1.372e-02	1.210e-03	0.000e+00	-3.296e-09	0.000e+00	-2.724e-06	1.000e+00	1.000e+00	1.000e+00	9.250e+02	8.109e+01	9.396e+01	9.701e+01	-8.606e+00	2.810e+02
7.680e+00	-1.210e+00	0.000e+00	-1.139e-03	2.048e-02	0.000e+00	0.000e+00	1.378e-09	0.000e+00	-3.863e-06	1.000e+00	1.000e+00	1.000e+00	9.240e+02	8.109e+01	9.396e+01	9.701e+01	-8.620e+00	2.810e+02
9.720e+00	0.000e+00	0.000e+00	9.897e-04	2.916e-02	0.000e+00	0.000e+00	1.378e-09	0.000e+00	-2.873e-06	1.000e+00	1.000e+00	1.000e+00	9.210e+02	8.109e+01	9.396e+01	9.701e+01	-8.606e+00	2.810e+02
1.200e+01	0.000e+00	0.000e+00	-7.450e-05	4.000e-02	0.000e+00	0.000e+00	1.378e-09	0.000e+00	-2.948e-06	1.000e+00	1.000e+00	1.000e+00	9.250e+02	8.109e+01	9.396e+01	9.701e+01	-8.564e+00	2.810e+02
