# KERISE v3
# ref_v.tra	est_v.tra	ref_a.tra	est_a.tra	ref_q.x	est_q.x	ref_q.y	est_q.y	ref_q.th	est_q.th	ref_0	ref_1	ref_2	ref_3	wd_0	wd_1	wd_2	wd_3	tof
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.602e+01	1.045e+02	1.049e+02	8.367e+01	2.860e+02
1.200e-01	2.412e-01	0.000e+00	-1.083e-03	4.000e-05	1.177e-03	0.000e+00	-1.275e-09	0.000e+00	-1.083e-06	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.602e+01	1.045e+02	1.049e+02	8.367e+01	2.860e+02
4.800e-01	5.011e-01	0.000e+00	1.578e-03	3.200e-04	2.747e-03	0.000e+00	-4.983e-10	0.000e+00	4.949e-07	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.602e+01	1.045e+02	1.049e+02	8.367e+01	2.860e+02
1.080e+00	7.551e-02	0.000e+00	-1.615e-03	1.080e-03	1.177e-03	0.000e+00	1.260e-09	0.000e+00	-1.120e-06	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.602e+01	1.045e+02	1.049e+02	8.367e+01	2.860e+02
1.920e+00	8.820e-02	0.000e+00	-4.276e-03	2.560e-03	1.177e-03	0.000e+00	1.260e-09	0.000e+00	-5.396e-06	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.602e+01	1.045e+02	1.049e+02	8.367e+01	2.860e+02
3.000e+00	1.960e-01	0.000e+00	-3.743e-03	5.000e-03	1.570e-03	0.000e+00	-2.327e-09	0.000e+00	-9.139e-06	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.602e+01	1.045e+02	1.049e+02	8.367e+01	2.860e+02
4.320e+00	1.626e-01	0.000e+00	5.135e-04	8.640e-03	1.570e-03	0.000e+00	-2.327e-09	0.000e+00	-8.626e-06	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.602e+01	1.045e+02	1.049e+02	8.367e+01	2.860e+02
5.880e+00	-4.218e-02	0.000e+00	2.642e-03	1.372e-02	7.849e-04	0.000e+00	2.368e-09	0.000e+00	-5.984e-06	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.602e+01	1.045e+02	1.049e+02	8.367e+01	2.860e+02
7.680e+00	1.261e-01	0.000e+00	5.135e-04	2.048e-02	1.570e-03	0.000e+00	-1.924e-09	0.000e+00	-5.470e-06	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.602e+01	1.045e+02	1.049e+02	8.367e+01	2.860e+02
9.720e+00	1.066e-01	0.000e+00	-1.083e-03	2.916e-02	1.570e-03	0.000e+00	-1.924e-09	0.000e+00	-6.553e-06	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.602e+01	1.045e+02	1.049e+02	8.367e+01	2.860e+02
1.200e+01	-1.003e-01	0.000e+00	-1.615e-03	4.000e-02	7.849e-04	0.000e+00	4.485e-09	0.000e+00	-8.168e-06	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.602e+01	1.045e+02	1.049e+02	8.367e+01	2.860e+02
1.452e+01	-1.808e-01	0.000e+00	5.135e-04	5.324e-02	3.924e-04	0.000e+00	7.489e-09	0.000e+00	-7.654e-06	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.602e+01	1.045e+02	1.049e+02	8.367e+01	2.860e+02
1.728e+01	-4.600e-02	0.000e+00	-6.936e-03	6.912e-02	7.849e-04	0.000e+00	1.763e-09	0.000e+00	-1.459e-05	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.602e+01	1.045e+02	1.049e+02	8.367e+01	2.860e+02
2.028e+01	2.491e+00	0.000e+00	-4.897e-02	8.788e-02	1.177e-02	0.000e+00	-6.966e-07	0.000e+00	-6.356e-05	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.602e+01	1.045e+02	1.049e+02	8.367e+01	2.860e+02
2.352e+01	7.028e+00	0.000e+00	-1.017e-01	1.098e-01	3.061e-02	0.000e+00	-3.808e-06	0.000e+00	-1.652e-04	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.602e+01	1.045e+02	1.049e+02	8.367e+01	2.860e+02
2.700e+01	7.204e+00	0.000e+00	-5.589e-02	1.350e-01	2.825e-02	0.000e+00	-3.288e-06	0.000e+00	-2.211e-04	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.602e+01	1.045e+02	1.049e+02	8.367e+01	2.860e+02
3.072e+01	9.717e+00	0.000e+00	-4.276e-03	1.638e-01	3.728e-02	0.000e+00	-5.322e-06	0.000e+00	-2.254e-04	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.602e+01	1.045e+02	1.049e+02	8.367e+01	2.860e+02
3.468e+01	1.220e+01	0.000e+00	3.723e-02	1.965e-01	5.101e-02	0.000e+00	-7.906e-06	0.000e+00	-1.882e-04	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.602e+01	1.045e+02	1.049e+02	8.367e+01	2.860e+02
3.888e+01	1.519e+01	0.000e+00	1.328e-02	2.333e-01	6.984e-02	0.000e+00	-1.120e-05	0.000e+00	-1.749e-04	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.602e+01	1.045e+02	1.049e+02	8.367e+01	2.860e+02
4.332e+01	1.861e+01	0.000e+00	-1.492e-02	2.744e-01	9.142e-02	0.000e+00	-1.529e-05	0.000e+00	-1.898e-04	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.602e+01	1.045e+02	1.049e+02	8.367e+01	2.860e+02
4.800e+01	2.326e+01	0.000e+00	-1.066e-02	3.200e-01	1.209e-01	0.000e+00	-2.119e-05	0.000e+00	-2.004e-04	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.602e+01	1.045e+02	1.049e+02	8.367e+01	2.860e+02
5.292e+01	2.690e+01	0.000e+00	9.559e-03	3.704e-01	1.483e-01	0.000e+00	-2.644e-05	0.000e+00	-1.909e-04	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.602e+01	1.045e+02	1.049e+02	8.367e+01	2.860e+02
5.808e+01	3.134e+01	0.000e+00	2.073e-02	4.259e-01	1.817e-01	0.000e+00	-3.211e-05	0.000e+00	-1.702e-04	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.602e+01	1.045e+02	1.049e+02	8.367e+01	2.860e+02
6.348e+01	3.728e+01	0.000e+00	2.180e-02	4.867e-01	2.252e-01	0.000e+00	-3.857e-05	0.000e+00	-1.484e-04	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.602e+01	1.045e+02	1.049e+02	8.367e+01	2.860e+02
6.912e+01	4.195e+01	0.000e+00	2.286e-02	5.530e-01	2.668e-01	0.000e+00	-4.379e-05	0.000e+00	-1.255e-04	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.602e+01	1.045e+02	1.049e+02	8.367e+01	2.860e+02
7.500e+01	4.671e+01	0.000e+00	1.914e-02	6.250e-01	3.127e-01	0.000e+00	-4.868e-05	0.000e+00	-1.064e-04	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.602e+01	1.045e+02	1.049e+02	8.367e+01	2.860e+02
