(  0,  1, ^, false)
(  0,  1, >, true)
(  0,  2, ^, false)
(  0,  2, >, true)
(  0,  3, ^, false)
(  0,  3, >, false)
(  0,  4, ^, false)
(  0,  4, >, true)
(  0,  5, ^, false)
(  0,  5, >, true)
(  0,  6, ^, true)
(  0,  6, >, false)
(  1,  6, ^, false)
(  1,  6, >, true)
(  1,  6, v, false)
(  1,  7, <, false)
(  1,  7, ^, false)
(  1,  7, >, true)
(  1,  8, <, true)
(  1,  8, ^, false)
(  1,  8, >, true)
(  1,  9, <, true)
(  1,  9, ^, false)
(  1,  9, >, true)
(  1, 10, <, true)
(  1, 10, ^, false)
(  1, 10, >, true)
(  1, 11, <, true)
(  1, 11, ^, false)
(  1, 11, >, false)
(  1, 12, <, true)
(  1, 12, ^, false)
(  1, 12, >, true)
(  1, 13, <, true)
(  1, 13, ^, false)
(  1, 13, >, true)
(  1, 14, <, true)
(  1, 14, ^, false)
(  1, 14, >, true)
(  1, 15, <, true)
(  1, 15, ^, true)
(  1, 15, >, false)
(  2, 15, ^, true)
(  2, 15, >, false)
(  2, 15, v, true)
(  3, 15, ^, false)
(  3, 15, >, true)
(  3, 15, v, false)
(  3, 14, >, true)
(  3, 14, v, true)
(  3, 14, <, false)
(  2, 14, v, false)
(  2, 13, >, true)
(  2, 13, v, false)
(  2, 12, >, true)
(  2, 12, v, false)
(  2, 11, >, true)
(  2, 11, v, true)
(  3, 16, <, false)
(  3, 16, ^, true)
(  3, 16, >, true)
(  2, 16, <, false)
(  2, 16, ^, true)
(  1, 16, <, true)
(  1, 16, ^, false)
(  1, 17, <, true)
(  1, 17, ^, false)
(  1, 17, >, true)
(  1, 18, <, true)
(  1, 18, ^, false)
(  1, 18, >, true)
(  1, 19, <, true)
(  1, 19, ^, false)
(  1, 19, >, true)
(  1, 20, <, true)
(  1, 20, ^, false)
(  1, 20, >, true)
(  1, 21, <, true)
(  1, 21, ^, false)
(  1, 21, >, true)
(  1, 22, <, true)
(  1, 22, ^, false)
(  1, 22, >, true)
(  1, 23, <, true)
(  1, 23, ^, false)
(  1, 23, >, true)
(  1, 24, <, true)
(  1, 24, ^, false)
(  1, 24, >, true)
(  1, 25, <, true)
(  1, 25, ^, false)
(  1, 25, >, true)
(  1, 26, <, true)
(  1, 26, ^, false)
(  1, 26, >, true)
(  1, 27, <, true)
(  1, 27, ^, true)
(  1, 27, >, false)
(  2, 27, ^, false)
(  2, 27, >, true)
(  2, 27, v, true)
(  2, 28, <, true)
(  2, 28, ^, false)
(  2, 28, >, true)
(  2, 29, <, true)
(  2, 29, ^, false)
(  2, 29, >, true)
(  2, 30, <, true)
(  2, 30, ^, true)
(  2, 30, >, false)
(  3, 30, ^, true)
(  3, 30, >, false)
(  3, 30, v, true)
(  4, 30, ^, true)
(  4, 30, >, false)
(  4, 30, v, true)
(  5, 30, ^, true)
(  5, 30, >, true)
(  5, 30, v, false)
(  5, 29, >, true)
(  5, 29, v, true)
(  5, 29, <, false)
(  4, 29, v, true)
(  4, 29, <, false)
(  3, 29, v, false)
(  3, 28, >, false)
(  3, 28, v, true)
(  4, 28, >, false)
(  4, 28, v, true)
(  5, 28, >, false)
(  5, 28, v, true)
(  6, 28, ^, false)
(  6, 28, >, true)
(  6, 28, v, true)
(  6, 29, ^, false)
(  6, 29, >, true)
(  6, 30, ^, true)
(  6, 30, >, false)
(  7, 30, ^, true)
(  7, 30, >, true)
(  7, 30, v, false)
(  7, 29, >, true)
(  7, 29, v, false)
(  7, 28, >, false)
(  7, 28, v, true)
(  8, 28, ^, true)
(  8, 28, >, false)
(  8, 28, v, true)
(  9, 28, ^, true)
(  9, 28, >, true)
(  9, 28, v, false)
(  9, 27, >, true)
(  9, 27, v, true)
(  9, 27, <, false)
(  8, 27, v, true)
(  8, 27, <, false)
(  7, 27, v, true)
(  7, 27, <, false)
(  6, 27, v, true)
(  6, 27, <, false)
(  5, 27, v, true)
(  5, 27, <, false)
(  4, 27, v, true)
(  4, 27, <, false)
(  3, 27, v, false)
(  3, 26, >, true)
(  3, 26, v, true)
(  3, 26, <, false)
(  2, 26, v, false)
(  2, 25, >, true)
(  2, 25, v, false)
(  2, 24, >, true)
(  2, 24, v, false)
(  2, 23, >, true)
(  2, 23, v, false)
(  2, 22, >, true)
(  2, 22, v, false)
(  2, 21, >, true)
(  2, 21, v, false)
(  2, 20, >, true)
(  2, 20, v, false)
(  2, 19, >, false)
(  2, 19, v, true)
(  3, 19, ^, true)
(  3, 19, >, false)
(  3, 19, v, true)
(  4, 19, ^, true)
(  4, 19, >, false)
(  4, 19, v, true)
(  5, 19, ^, true)
(  5, 19, >, false)
(  5, 19, v, true)
(  6, 19, ^, true)
(  6, 19, >, false)
(  6, 19, v, true)
(  7, 19, ^, true)
(  7, 19, >, false)
(  7, 19, v, true)
(  8, 19, ^, true)
(  8, 19, >, true)
(  8, 19, v, false)
(  8, 18, >, true)
(  8, 18, v, false)
(  8, 18, <, true)
(  8, 17, >, true)
(  8, 17, v, false)
(  8, 17, <, true)
(  8, 16, >, true)
(  8, 16, v, false)
(  8, 16, <, true)
(  8, 15, >, true)
(  8, 15, v, true)
(  8, 15, <, false)
(  7, 15, v, true)
(  7, 15, <, false)
(  7, 15, ^, true)
(  6, 15, v, false)
(  6, 15, <, true)
(  6, 15, ^, true)
(  6, 14, >, false)
(  6, 14, v, false)
(  6, 14, <, true)
(  6, 13, >, false)
(  6, 13, v, true)
(  6, 13, <, false)
(  7, 13, ^, true)
